Store,Category,Item,Early Bird,Rebate,Price
AAFES-Saturday-Sale,Personal Care,Celine Dion Gift Set,,,B1G1 50% OFF
AAFES-Saturday-Sale,Personal Care,Halle Berry Gift Set,,,B1G1 50% OFF
AAFES-Saturday-Sale,Personal Care,Oral-B ProCare Rechargeable Electronic Toothbrush,,,$59.95
AAFES-Saturday-Sale,Personal Care,Oral-B Vitality Dual Clean Rechargeable Toothbrush,,,$17.95
AAFES-Saturday-Sale,Personal Care,Playboy Gift Set,,,B1G1 50% OFF
AAFES-Saturday-Sale,Personal Care,Revlon Hair Styling Appliance - Dryer,,,$8.88
AAFES-Saturday-Sale,Personal Care,Revlon Hair Styling Appliance - Straightener,,,$8.88
AAFES-Saturday-Sale,Personal Care,Revlon Hair Styling Appliance - Styling Wand,,,$8.88
AAFES-Saturday-Sale,Promotional Items,Brand Name Appliances $499 or More,,,25% OFF
AAFES-Saturday-Sale,Promotional Items,Burger King Small Coffee w/ Purchase of Any Breakfast Sandwich,,,FREE
AAFES-Saturday-Sale,Promotional Items,Candle-Lite Everyday Essentials Jar Candle,,,B1G1 FREE
AAFES-Saturday-Sale,Promotional Items,Charley's Grilled Subs,,,$1 OFF
AAFES-Saturday-Sale,Promotional Items,Cribs,,,20% OFF
AAFES-Saturday-Sale,Televisions >> Accessories,Patrionics Full Motion TV Mount,,,$89.95
AAFES-Saturday-Sale,Televisions >> Accessories,Patrionics Play 40 Interactive Panel TV Mount,,,$149.95
AAFES-Saturday-Sale,Televisions >> Accessories,Patrionics Tilt TV Mount,,,$79.95
AAFES-Saturday-Sale,Televisions >> LED,Sony 40" 1080p 60Hz LED HDTV (KSL40R45OA),,,$349.00
AAFES-Saturday-Sale,Televisions >> LED,Sony 60" 1080p 120Hz LED Smart HDTV (KDL60R52OA),,,$999.00
AAFES-Saturday-Sale,Televisions >> LED,Sony 70" 1080p 120Hz LED Smart HDTV (KDL70R52OA),,,"$1,599.00"
AAFES-Saturday-Sale,Tools,4.8V Screwdriver w/ 44-pc. Accessory Set,,,$14.99
AAFES-Saturday-Sale,Tools,Jig Saw w/ Variable Speeds 3.4A 120V/60Hz,,,$19.99
AAFES-Saturday-Sale,Tools,LED Lantern and Headlight Set 3-pk.,,,$9.99
AAFES-Saturday-Sale,Tools,LED Lantern and Headlight Set 5-pk.,,,$12.99
AAFES-Saturday-Sale,Tools,Mover's Dolly 1000-lb. Capacity,,,$19.99
AAFES-Saturday-Sale,Tools,Multiple Outlet Extension Cord,,,$9.99
AAFES-Saturday-Sale,Toys,Amazing Animals Whirling Round Squirt Ball Popper,,,$14.95
AAFES-Saturday-Sale,Toys,Diggin Basketball,,,$14.95
AAFES-Saturday-Sale,Toys,Diggin Darts,,,$9.94
AAFES-Saturday-Sale,Toys,Diggin Dodge Tag,,,$14.95
AAFES-Saturday-Sale,Toys,Diggin Ring Toss,,,$14.95
AAFES-Saturday-Sale,Toys,Fisher Price Shake 'N Go Racer,,,$6.95
AAFES-Saturday-Sale,Toys,Junior Pro Golf Set,,,$5.95
AAFES-Saturday-Sale,Toys,Junior Pro T-Ball Set,,,$5.95
AAFES-Saturday-Sale,Toys,KiddieLand Light & Sound Press & Go Airplane,,,$9.95
AAFES-Saturday-Sale,Toys,Mega Truck Light & Sound Vehicle,,,$14.95
AAFES-Saturday-Sale,Toys,Princess Gift Pack 6-pc. (Assorted),,,$14.95
AAFES-Saturday-Sale,Toys,Verdes Wood Foam Building Block Set 200-pc.,,,$19.95
AAFES-Saturday-Sale,Video Games >> Nintendo 3DS,dreamGEAR 3DS XL 20-in-1 Starter Kit,,,$19.95
AAFES-Saturday-Sale,Video Games >> Nintendo 3DS,Skylanders Swap Force Starter Kit (3DS),,,$49.95
AAFES-Saturday-Sale,Video Games >> Other,Video Games (Assorted),,,$14.95 - $49.95
AAFES-Saturday-Sale,Video Games >> Playstation 3,Skylanders Swap Force Starter Kit (PS3),,,$49.95
AAFES-Saturday-Sale,Video Games >> Playstation Vita,PS Vita 11-in-1 Essentials Bundle,,,$24.95
AAFES-Saturday-Sale,Video Games >> Wii,Skylanders Swap Force Starter Kit (Wii),,,$49.95
AAFES-Saturday-Sale,Video Games >> Wii U,Skylanders Swap Force Starter Kit (Wii U),,,$49.95
AAFES-Saturday-Sale,Video Games >> Xbox 360,Skylanders Swap Force Starter Kit (Xbox 360),,,$49.95
AAFES,Apparel,Boys Sleep Pants (Assorted Colors),,,$5.00
AAFES,Apparel,Girls Sleep Pants (Assorted Colors),,,$5.00
AAFES,Apparel,Michael Kors Crossbody Bag (Mocha),,,$59.99
AAFES,Apparel,Michael Kors Jet Set Signature Wristlet,,,$49.99
AAFES,Apparel,Michael Kors Monogram Jacquard Tote (Black),,,$99.99
AAFES,Apparel,Robes (Assorted Colors),,,$15.00
AAFES,Apparel >> Accessories,Coach Merchandise,early bird,,25% OFF
AAFES,Apparel >> Accessories,DNA Cell Phone Case,,,$10.00
AAFES,Apparel >> Accessories,DNA Vintage Bag (Assorted Colors),,,$10.00
AAFES,Apparel >> Accessories,DNA Wristlet Handbag,,,$10.00
AAFES,Apparel >> Accessories,DNA Zip Around Wallet,,,$10.00
AAFES,Apparel >> Accessories,Dockers Mens Wallets,,,30% OFF
AAFES,Apparel >> Accessories,Michael Kors Monogram Jacquard Tote (Mocha),,,$99.99
AAFES,Apparel >> Accessories,Oakley Men's Crankcase Sunglasses (Blue/Gray),early bird,,$39.99
AAFES,Apparel >> Accessories,Yurbuds Accessories (Assorted Styles & Colors),,,50% OFF
AAFES,Apparel >> Babies,Cardigan 3-pc. Set (Assorted Colors),,,$5.00
AAFES,Apparel >> Babies,Infants Hello Kitty Bodysuit,,,$5.00
AAFES,Apparel >> Babies,Newborn Girls Creeper 2-pc. Set ( 3-9 Mos),,,$5.00
AAFES,Apparel >> Jewelry,1/2-cttw. Diamond Earrings in 14K,,,$249.00
AAFES,Apparel >> Jewelry,1/2-cttw. Diamond Sterling Silver Pendant,,,$99.00
AAFES,Apparel >> Jewelry,1/2-cttw. Sterling Silver Diamond Ring,,,$99.00
AAFES,Apparel >> Jewelry,1/4-cttw. Diamond Bracelet in Sterling Silver,,,$149.00
AAFES,Apparel >> Jewelry,3/4-cttw. Sterling Silver Diamond Earrings,,,$99.00
AAFES,Apparel >> Jewelry,Anne Klein Charm Watch (Rose Gold),,,$29.99
AAFES,Apparel >> Jewelry,Anne Klein Charm Watch (Two-Tone Chrome),,,$29.99
AAFES,Apparel >> Jewelry,Blue Topaz Round Halo Drop Sterling Silver Earrings Sterling Silver,,,$99.00
AAFES,Apparel >> Jewelry,Blue Topaz Round Halo Sterling Silver Pendant,,,$69.00
AAFES,Apparel >> Jewelry,Blue Topaz Round Halo Sterling Silver Ring,,,$69.00
AAFES,Apparel >> Jewelry,Coloron Diamond Accent 3-pc. Box Set in (Sterling Silver),,,$69.00
AAFES,Apparel >> Jewelry,Cultured Freshwater Multicolor Pearl Drop Earring Set (Pink Multi),,,$24.95
AAFES,Apparel >> Jewelry,Cultured Freshwater Pearl Drop Sterling Silver Earring Set,,,$24.95
AAFES,Apparel >> Jewelry,CZ Infinity Pendant (Rose Gold),,,$14.95
AAFES,Apparel >> Jewelry,CZ Infinity Pendant (Sterling Silver),,,$14.95
AAFES,Apparel >> Kids',Boys Long Sleeve Shirts (Assorted Styles),,,$5.00
AAFES,Apparel >> Kids',Boys Short Sets (Assorted Colors),,,$5.00
AAFES,Apparel >> Kids',Girls Pony Tails Long Sleeve Shirt (Assorted Colors),,,$5.00
AAFES,Apparel >> Kids',Hello Kitty Girls T-Shirts,,,$5.00
AAFES,Apparel >> Kids',Novelty Fleece 3-pc. Play Set,,,$5.00
AAFES,Apparel >> Kids',Novelty Fleece 3-pc. Play Set,,,$5.00
AAFES,Apparel >> Men's,Bill Robinson Mens Dress Shirts,,,$19.00
AAFES,Apparel >> Men's,Bill Robinson Mens Tie Box Set,,,$19.00
AAFES,Apparel >> Men's,Buxton Mens Wallets,,,30% OFF
AAFES,Apparel >> Men's,Fossil Mens Wallet,,,30% OFF
AAFES,Apparel >> Men's,Hanes Mens Tanks,,,25% OFF
AAFES,Apparel >> Men's,Hanes Mens Tees,,,25% OFF
AAFES,Apparel >> Men's,Hanes Mens Underwear,early bird,,25% OFF
