Year,Store,Category,SubCategory,Item,Price
2014,AAFES,Computer Accessories,Digital Media,Dane-Elec USB 32GB Flash Drive,11.99
2014,AAFES,Apparel,Accessories,Michael Kors Large Crossbody Bag,59.0
2014,AAFES,Apparel,Accessories,Michael Kors Signature Small Tote,79.0
2014,AAFES,Apparel,Accessories,Michael Kors East/West Large Tote (Black),99.0
2014,AAFES,Apparel,Accessories,Michael Kors East/West Large Tote (Mocha),99.0
2014,AAFES,Apparel,Accessories,Michael Kors East/West Large Tote (Camel),99.0
2014,AAFES,Apparel,Accessories,Michael Kors East/West Large Tote (Vanilla),99.0
2014,AAFES,Electronics,Tablets,"iPad Air 9.7"" Retina Display 32GB (Assorted)",489.0
2014,AAFES,Electronics,Accessories,iPad Air Smart Case (Assorted Colors),39.0
2014,AAFES,Video Games,Xbox One,Xbox One Console + $25 Exchange Gift Card,329.95
2014,AAFES,Electronics,Accessories,iPad Air Smart Cover (Assorted Colors),19.0
2014,AAFES,Electronics,Tablets,Cyber Acoustics 6-in. Universal Tablet Case,11.95
2014,AAFES,Video Games,Xbox One,Xbox One Bundle (Assorted) + $25 Exchange Gift Card,329.95
2014,AAFES,Video Games,Xbox One,Xbox One Console w/ Kinect + $50 Exchange Gift Card,429.95
2014,AAFES,Electronics,,Sonos Play:1 Compact Wireless Speaker,169.95
2014,AAFES,Video Games,Xbox One,Xbox One Bundle w/ Kinect (Assorted) + $50 Exchange Gift Card,429.95
2014,AAFES,Electronics,Tablets,"Samsung Galaxy Tab 4 7"" 32GB (White)",149.99
2014,AAFES,Movies & TV,DVD,Anchorman 2 (DVD),4.95
2014,AAFES,Movies & TV,DVD,Gravity (DVD),4.95
2014,AAFES,Movies & TV,DVD,Bad Grandpa (DVD),4.95
2014,AAFES,Movies & TV,DVD,Jack Ryan: Shadow Recruit (DVD),4.95
2014,AAFES,Movies & TV,DVD,The Heat (DVD),4.95
2014,AAFES,Electronics,,Sonos Play:3 Versatile Wireless Speaker,249.95
2014,AAFES,Electronics,,Sonos Play:5 Whole Room Wireless Speaker,349.95
2014,AAFES,Movies & TV,DVD,Man Of Steel (DVD),4.95
2014,AAFES,Electronics,Accessories,Beats by Dr. Dre Solo2 Headphones (Assorted Colors),129.95
2014,AAFES,Video Games,Xbox 360,Call Of Duty: Black Ops (X360),4.97
2014,AAFES,Electronics,Accessories,Beats by Dr. Dre Studio 2.0 Headphones (Assorted Colors),199.95
2014,AAFES,Electronics,,UBL Pulse Bluetooth Light Show Speaker,99.95
2014,AAFES,Video Games,Playstation 3,Skylanders Trap Team Starter Pack (PS3),59.95
2014,AAFES,Apparel,Watches,Lifetrak Move C300 Activity Tracking Watch,29.99
2014,AAFES,Cameras,Camcorders,GoPro HERO3+ Silver Edition 10MP Camera,229.95
2014,AAFES,Home Theatre,,Vizio Soundstand w/ Subwoofer,149.99
2014,AAFES,Movies & TV,Blu-ray,Live Die Repeat (DVD + Blu-Ray + Ultraviolet),7.95
2014,AAFES,Cameras,Digital Cameras,Nikon Coolpix L830 16MP Digital Camera (Black),169.95
2014,AAFES,Home Theatre,,Vizio 5.1 Channel Soundbar w/ Wireless Subwoofer & Rear Speakers,199.99
2014,AAFES,Cameras,Digital Cameras,Nikon Coolpix L830 16MP Digital Camera (Red),169.95
